School,Team ID,Conference,Wins,Losses,Last Updated
Alabama,333,SEC,0,0,2025-03-11 18:56:31
Arkansas,8,SEC,0,0,2025-03-11 18:56:31
Auburn,2,SEC,0,0,2025-03-11 18:56:32
Florida,57,SEC,0,0,2025-03-11 18:56:32
Georgia,61,SEC,0,0,2025-03-11 18:56:32
Kentucky,96,SEC,0,0,2025-03-11 18:56:33
LSU,99,SEC,0,0,2025-03-11 18:56:33
Mississippi State,344,SEC,0,0,2025-03-11 18:56:34
Missouri,142,SEC,0,0,2025-03-11 18:56:34
Oklahoma,201,SEC,0,0,2025-03-11 18:56:35
Ole Miss,145,SEC,0,0,2025-03-11 18:56:35
South Carolina,2579,SEC,0,0,2025-03-11 18:56:36
Tennessee,2633,SEC,0,0,2025-03-11 18:56:36
Texas,251,SEC,0,0,2025-03-11 18:56:36
Texas A&M,245,SEC,0,0,2025-03-11 18:56:37
Vanderbilt,238,SEC,0,0,2025-03-11 18:56:37
